latitude,longitude,acq_date,fire_occurred,temperature,humidity,wind_speed,precipitation,elevation,vpd
28.24701,81.83638,2024-04-09,1,28.71,18.16,2.0,0.0,985.0,3.224
26.853014693940555,89.20841863088606,2023-04-18,0,18.24,55.51,0.68,0.38,664.0,0.932
29.56969,82.25074,2021-04-10,1,-2.06,37.62,1.99,0.0,2025.0,0.328
27.92665,82.8612,2016-04-12,1,23.88,23.98,3.27,0.0,428.0,2.252
29.75667766844469,88.45049075464131,2025-04-08,0,-1.81,42.11,2.89,0.0,5467.0,0.31
27.91245,82.99282,2016-05-10,1,26.99,39.32,1.47,0.37,894.0,2.162
29.05082058075127,84.42582374982214,2014-05-16,0,-1.16,71.46,3.08,0.0,5306.0,0.16
29.177887158572585,87.18911815607838,2023-04-18,0,2.48,50.18,3.27,0.0,4852.0,0.364
27.50868172842565,80.61354056293226,2016-12-17,0,15.23,42.36,1.49,0.0,137.0,0.998
26.66642004171724,87.51717368324807,2016-04-07,0,31.9,25.99,3.14,0.0,175.0,3.499
27.23166,87.27245,2025-04-02,1,21.96,37.44,1.64,0.0,750.0,1.65
27.36851468205822,87.9241368279767,2016-04-08,0,6.07,55.57,2.54,0.56,1709.0,0.417
28.18268,81.97107,2023-04-18,1,32.12,27.94,2.27,0.0,795.0,3.45
26.82382,87.88761,2017-04-14,1,21.7,49.17,1.51,0.79,442.0,1.32
27.487584493091266,87.19884233005365,2021-04-12,0,10.99,33.64,1.93,0.02,1151.0,0.871
27.83850618377031,81.56405496498833,2019-04-23,0,28.79,40.8,2.03,0.47,131.0,2.343
27.9804,82.02518,2024-04-20,1,32.24,18.28,3.53,0.0,270.0,3.939
29.0493,81.9015,2013-12-25,1,6.09,44.75,1.29,0.0,3375.0,0.52
28.64788801936757,81.4844005235292,2014-04-23,0,28.77,30.46,2.43,0.0,779.0,2.749
27.26205,85.04117,2017-03-06,1,19.44,25.08,1.75,0.0,274.0,1.692
30.28020839061893,82.57443260818282,2023-04-16,0,-3.51,68.27,4.29,0.0,4983.0,0.15
27.37454,84.37818,2023-04-07,1,26.75,29.68,1.69,0.04,561.0,2.471
29.03917108353233,88.07142546717054,2024-04-22,0,2.88,24.87,4.42,0.07,4671.0,0.564
27.98602,83.93082,2025-03-18,1,18.88,33.54,1.94,0.0,951.0,1.449
28.27685,81.77973,2015-06-02,1,27.64,34.86,1.43,1.83,583.0,2.411
27.68158,83.79118,2024-04-06,1,29.91,22.14,3.02,0.0,353.0,3.287
27.17536,85.76257,2024-04-04,1,29.32,26.71,2.71,0.0,502.0,2.99
27.20918969956818,88.60387052482292,2020-04-03,0,18.94,46.46,1.24,0.12,962.0,1.172
28.56485291143057,82.93683985918273,2016-05-01,0,13.0,35.07,2.06,0.0,2853.0,0.973
27.698542067821474,85.78933306835823,2025-04-02,0,21.12,29.1,1.57,0.0,1545.0,1.776
28.648102133458533,82.59985431155623,2014-03-29,0,16.49,45.48,2.6,0.0,2113.0,1.023
27.43504,84.24084,2021-04-09,1,29.74,13.49,2.2,0.01,349.0,3.616
27.91579,82.66034,2016-04-11,1,29.21,19.95,3.81,0.0,597.0,3.246
27.88181,82.29951,2022-04-26,1,28.75,25.35,3.16,0.0,388.0,2.947
30.221236203472177,84.6833328223059,2024-04-20,0,-4.31,59.18,5.32,0.0,5501.0,0.181
28.83592,82.41427,2019-06-08,1,12.87,63.39,1.7,0.67,1857.0,0.544
28.09111038830188,80.49649298286525,2023-04-25,0,27.04,41.6,1.36,0.0,177.0,2.087
28.7819,80.41485,2016-04-14,1,,,,,204.0,
26.864240837864124,83.08948041915595,2024-05-03,0,31.52,11.71,2.65,0.0,76.0,4.085
28.81132,80.43015,2022-04-14,1,26.38,30.23,1.42,3.03,215.0,2.398
28.20605,81.88995,2023-05-15,1,31.63,31.48,2.09,2.08,702.0,3.19
28.599983696785127,83.62984727080426,2025-03-05,0,3.06,51.87,1.61,0.0,2927.0,0.366
26.52241185776716,81.94655069226705,2016-04-13,0,32.7,15.25,4.18,0.0,104.0,4.192
27.92254,84.52808,2014-04-22,1,23.97,25.03,2.01,0.0,422.0,2.233
29.23782501771096,80.4189162396709,2016-03-23,0,22.76,25.06,1.41,0.0,2003.0,2.075
28.88799,80.17537,2021-03-05,1,23.37,17.84,3.26,0.0,207.0,2.36
27.717983196732224,81.36533493221586,2024-04-30,0,33.78,15.56,4.23,0.0,122.0,4.437
29.420990134874927,80.83617024326564,2022-04-26,0,21.14,31.49,2.15,0.02,1488.0,1.719
27.082190568413463,86.77046336868041,2016-04-08,0,26.58,29.68,3.73,0.02,1386.0,2.446
27.480628847854888,81.70173501473117,2023-05-10,0,30.11,25.45,2.97,0.0,119.0,3.183
26.87993,86.50397,2023-03-29,1,23.6,29.72,1.84,0.0,666.0,2.047
26.99078789133611,88.67410590408765,2016-04-09,0,24.53,29.79,1.96,0.11,805.0,2.163
28.197120207871173,81.0699125925883,2018-05-22,0,34.81,23.82,1.72,0.0,133.0,4.239
28.51468489495215,85.54202446209513,2016-04-23,0,-3.03,72.76,5.73,0.23,4868.0,0.133
29.81053039967012,86.69033379996172,2020-04-05,0,-7.99,54.09,3.93,0.0,5318.0,0.154
27.60526235564676,87.00580677277173,2023-04-15,0,12.4,49.52,1.74,0.02,3857.0,0.727
28.96269,80.75304,2016-04-26,1,28.02,12.47,1.61,0.0,1389.0,3.312
27.85327,83.37337,2023-04-20,1,25.61,34.78,2.99,0.02,1418.0,2.142
27.07723,86.57355,2018-05-27,1,26.29,65.7,1.71,3.93,1388.0,1.173
26.857093290471607,84.72045312177997,2024-04-24,0,32.12,18.66,3.59,0.0,74.0,3.894
